query,target_cluster,predicted_cluster,ev,isHit,matchedSeed
眼睛干涩怎么办,medical_info,general_mixed,0,True,general-skill
过敏症状,medical_info,medical_info,18,False,
湿疹怎么治,medical_info,general_mixed,0,True,general-skill
脱发怎么治疗,medical_info,medical_info,6,False,
白发怎么办,medical_info,general_mixed,0,True,general-skill
贫血症状,medical_info,medical_info,15,False,
缺钙症状,medical_info,medical_info,2,False,
甲亢症状,medical_info,medical_info,18,False,
甲状腺结节怎么办,medical_info,general_mixed,0,True,general-skill
痛风症状,medical_info,medical_info,14,False,
尿酸高怎么办,medical_info,general_mixed,0,True,general-skill
脂肪肝怎么办,medical_info,general_mixed,0,True,general-skill
肝功能异常怎么办,medical_info,general_mixed,0,True,general-skill
肾病早期症状,medical_info,medical_info,12,False,
尿毒症前兆,medical_info,general_mixed,4,False,
乙肝怎么治疗,medical_info,medical_info,8,False,
脂肪肝饮食注意事项,medical_info,medical_info,0,True,diet-advice
糖尿病饮食注意事项,medical_info,medical_info,0,True,diet-advice
高血压饮食禁忌,medical_info,medical_info,0,True,diet-advice
痛风饮食禁忌,medical_info,medical_info,0,True,diet-advice
肾病患者饮食,medical_info,medical_info,0,True,diet-advice
减肥饮食方案,medical_info,medical_info,0,True,fitness
增肌饮食方案,medical_info,medical_info,0,True,diet-advice
运动后肌肉酸痛怎么办,medical_info,general_mixed,0,True,fitness
跑步膝盖疼怎么治,medical_info,general_mixed,0,True,fitness
瑜伽初学者注意事项,medical_info,how_to,4,False,
游泳注意事项,medical_info,how_to,8,False,
