query,source,predicted_cluster,domain_prior,retrieval_boost,ev,isHit
洗衣机怎么选,how_to,general_mixed,{},[],0,True
怎么开网店,how_to,general_mixed,{},[],0,True
怎么做电商,how_to,how_to,{},[],0,True
怎么做小红书,how_to,how_to,{},[],0,True
抖音怎么做,how_to,how_to,{},[],0,True
怎么做直播,how_to,how_to,{},[],0,True
怎么写文案,how_to,general_mixed,{},[],0,True
怎么写简历,how_to,general_mixed,{},[],0,True
怎么准备面试,how_to,general_mixed,{},[],0,True
怎么谈薪资,how_to,general_mixed,{},[],0,True
中国GDP最新数据,factual,factual_search,{},[],17,True
全球变暖原因,factual,factual_search,{},[],1,False
马斯克是谁,factual,factual_search,{},[],17,True
华为公司最新动态,factual,factual_search,{},[],2,True
腾讯有哪些业务,factual,factual_search,{},[],4,True
阿里巴巴最新财报,factual,corporate_info,{},[],4,True
比特币最新价格,factual,factual_search,"{""financial"": 0.15}",[],0,False
房贷利率最新政策,factual,factual_search,"{""financial"": 0.3}","[{""keyword"": ""政策"", ""domain"": ""general"", ""boost"": 1.2}]",0,True
最新房贷利率,factual,general_mixed,"{""financial"": 0.3}",[],0,True
现在买房利率多少,factual,general_mixed,"{""financial"": 0.15}",[],0,True
黄金现在多少钱一克,factual,general_mixed,{},[],3,False
美元汇率最新,factual,general_mixed,"{""financial"": 0.15}","[{""keyword"": ""汇率"", ""domain"": ""financial"", ""boost"": 1.5}]",14,False
人民币汇率走势,factual,general_mixed,"{""financial"": 0.15}","[{""keyword"": ""汇率"", ""domain"": ""financial"", ""boost"": 1.5}]",7,False
股市最新行情,factual,general_mixed,{},[],16,False
上证指数最新,factual,general_mixed,{},[],12,False
特斯拉最新销量,factual,general_mixed,{},[],0,True
比亚迪销量数据,factual,factual_search,{},[],0,True
宁德时代最新动态,factual,factual_search,{},[],1,False
大疆最新产品,factual,general_mixed,{},[],0,False
OPPO最新手机,factual,general_mixed,{},[],14,True
小米最新财报,factual,corporate_info,{},[],4,True
网易游戏2025年新游,factual,general_mixed,{},[],13,False
瑞幸咖啡门店数量,factual,general_mixed,{},[],0,False
美团外卖业务规模,factual,factual_search,{},[],4,True
海底捞海外市场情况,factual,factual_search,{},[],1,False
拼多多用户数据,factual,factual_search,{},[],3,False
EDG电子竞技俱乐部,factual,general_mixed,{},[],0,False
中国人口最新数据,factual,factual_search,{},[],17,True
2025年就业率数据,factual,factual_search,{},[],17,False
最新疫情数据,factual,factual_search,{},[],2,False
全球碳排放最新数据,factual,factual_search,{},[],17,True
中国高铁总里程,factual,general_mixed,{},[],0,False
中国航天最新进展,factual,factual_search,{},[],7,False
SpaceX最新发射,factual,general_mixed,{},[],14,False
NASA最新发现,factual,general_mixed,{},[],25,False
最新科技新闻,factual,general_mixed,{},[],8,False
2025年诺贝尔奖,factual,general_mixed,{},[],14,False
奥斯卡最新获奖名单,factual,general_mixed,{},[],6,False
全球票房排行榜,factual,general_mixed,{},[],2,False
最新电影推荐,factual,general_mixed,{},[],6,True
最火电视剧排行,factual,general_mixed,{},[],2,False
现在流行什么歌,factual,general_mixed,{},[],8,True
抖音热门排行榜,factual,general_mixed,{},[],4,False
中国首富是谁,factual,factual_search,{},[],17,True
2025年福布斯排行榜,factual,general_mixed,{},[],1,False
最新人工智能突破,factual,general_mixed,{},[],2,False
最新芯片工艺进展,factual,general_mixed,{},[],2,False
最新新能源政策,factual,general_mixed,"{""financial"": 0.15}","[{""keyword"": ""政策"", ""domain"": ""general"", ""boost"": 1.2}]",0,True
最新教育改革政策,factual,general_mixed,"{""financial"": 0.15}","[{""keyword"": ""政策"", ""domain"": ""general"", ""boost"": 1.2}]",0,True
最新房价数据,factual,factual_search,{},[],9,False
高血压饮食注意事项,medical,how_to,"{""medical"": 0.3}","[{""keyword"": ""饮食"", ""domain"": ""medical"", ""boost"": 1.5}]",0,True
糖尿病早期症状,medical,general_mixed,"{""medical"": 0.3}",[],8,False
感冒症状,medical,general_mixed,"{""medical"": 0.15}",[],18,False
高血压怎么治疗,medical,general_mixed,"{""medical"": 0.3}",[],5,False
糖尿病怎么预防,medical,general_mixed,"{""medical"": 0.15}",[],0,True
心脏病早期症状,medical,general_mixed,"{""medical"": 0.15}",[],4,False
心梗前兆,medical,general_mixed,{},[],5,False
脑梗症状,medical,general_mixed,"{""medical"": 0.15}",[],0,False
中风前兆,medical,general_mixed,{},[],17,False
癌症早期症状,medical,general_mixed,"{""medical"": 0.15}",[],4,False
肺癌早期症状,medical,general_mixed,"{""medical"": 0.15}",[],14,False
胃癌症状,medical,general_mixed,"{""medical"": 0.15}",[],14,False
肝癌症状,medical,general_mixed,"{""medical"": 0.15}",[],14,False
抑郁症症状,medical,general_mixed,"{""medical"": 0.15}",[],18,False
焦虑症表现,medical,general_mixed,{},[],12,False
失眠怎么治疗,medical,general_mixed,"{""medical"": 0.15}",[],10,False
为什么睡不着,medical,general_mixed,{},[],1,False
腰疼怎么办,medical,general_mixed,{},[],0,True
颈椎病怎么治,medical,general_mixed,{},[],0,True
近视眼怎么恢复,medical,general_mixed,{},[],0,True
眼睛干涩怎么办,medical,general_mixed,{},[],0,True
过敏症状,medical,general_mixed,"{""medical"": 0.15}",[],18,False
湿疹怎么治,medical,general_mixed,{},[],0,True
脱发怎么治疗,medical,general_mixed,"{""medical"": 0.15}",[],9,False
白发怎么办,medical,general_mixed,{},[],0,True
贫血症状,medical,general_mixed,"{""medical"": 0.15}",[],18,False
缺钙症状,medical,general_mixed,"{""medical"": 0.15}",[],2,False
甲亢症状,medical,general_mixed,"{""medical"": 0.15}",[],18,False
甲状腺结节怎么办,medical,general_mixed,{},[],0,True
痛风症状,medical,general_mixed,"{""medical"": 0.15}",[],16,False
尿酸高怎么办,medical,general_mixed,{},[],0,True
脂肪肝怎么办,medical,general_mixed,{},[],0,True
肝功能异常怎么办,medical,general_mixed,{},[],0,True
肾病早期症状,medical,general_mixed,"{""medical"": 0.15}",[],7,False
尿毒症前兆,medical,general_mixed,{},[],1,False
乙肝怎么治疗,medical,general_mixed,"{""medical"": 0.15}",[],8,False
脂肪肝饮食注意事项,medical,how_to,"{""medical"": 0.15}","[{""keyword"": ""饮食"", ""domain"": ""medical"", ""boost"": 1.5}]",0,True
糖尿病饮食注意事项,medical,how_to,"{""medical"": 0.3}","[{""keyword"": ""饮食"", ""domain"": ""medical"", ""boost"": 1.5}]",0,True
高血压饮食禁忌,medical,general_mixed,"{""medical"": 0.3}","[{""keyword"": ""饮食"", ""domain"": ""medical"", ""boost"": 1.5}]",0,True
痛风饮食禁忌,medical,general_mixed,"{""medical"": 0.15}","[{""keyword"": ""饮食"", ""domain"": ""medical"", ""boost"": 1.5}]",0,True
肾病患者饮食,medical,general_mixed,"{""medical"": 0.15}","[{""keyword"": ""饮食"", ""domain"": ""medical"", ""boost"": 1.5}]",0,True
减肥饮食方案,medical,general_mixed,"{""medical"": 0.3}","[{""keyword"": ""饮食"", ""domain"": ""medical"", ""boost"": 1.5}]",0,True
增肌饮食方案,medical,general_mixed,"{""medical"": 0.15}","[{""keyword"": ""饮食"", ""domain"": ""medical"", ""boost"": 1.5}]",0,True
运动后肌肉酸痛怎么办,medical,general_mixed,{},[],0,True
跑步膝盖疼怎么治,medical,general_mixed,{},[],0,True
瑜伽初学者注意事项,medical,how_to,{},[],0,False
游泳注意事项,medical,how_to,{},[],8,False
